time,pred,entry,exit,result,pnl,cum_pnl
2025-07-15 20:05:00,SELL,3330.377,3329.877,TP,0.5,-739.0
2025-07-15 20:10:00,BUY,3330.401,3329.401,SL,-1.0,-740.0
2025-07-15 20:15:00,SELL,3328.766,3328.266,TP,0.5,-739.5
2025-07-15 20:20:00,SELL,3328.016,3327.516,TP,0.5,-739.0
2025-07-15 20:25:00,SELL,3328.112,3327.612,TP,0.5,-738.5
2025-07-15 20:30:00,SELL,3328.812,3328.312,TP,0.5,-738.0
2025-07-15 20:35:00,SELL,3328.012,3327.512,TP,0.5,-737.5
2025-07-15 20:40:00,SELL,3326.668,3326.168,TP,0.5,-737.0
2025-07-15 20:45:00,SELL,3325.682,3325.182,TP,0.5,-736.5
2025-07-15 20:50:00,SELL,3324.849,3325.849,SL,-1.0,-737.5
2025-07-15 20:55:00,SELL,3325.267,3326.267,SL,-1.0,-738.5
2025-07-15 22:00:00,SELL,3326.092,3327.092,SL,-1.0,-739.5
2025-07-15 22:05:00,SELL,3327.522,3327.022,TP,0.5,-739.0
2025-07-15 22:10:00,SELL,3327.097,3326.597,TP,0.5,-738.5
2025-07-15 22:15:00,SELL,3326.927,3326.427,TP,0.5,-738.0
2025-07-15 22:20:00,SELL,3326.524,3326.024,TP,0.5,-737.5
2025-07-15 22:25:00,SELL,3326.401,3325.901,TP,0.5,-737.0
2025-07-15 22:30:00,SELL,3326.1,3325.6,TP,0.5,-736.5
2025-07-15 22:35:00,SELL,3326.562,3326.062,TP,0.5,-736.0
2025-07-15 22:40:00,SELL,3326.402,3325.902,TP,0.5,-735.5
2025-07-15 22:45:00,SELL,3325.561,3326.561,SL,-1.0,-736.5
2025-07-15 22:50:00,SELL,3326.21,3327.21,SL,-1.0,-737.5
2025-07-15 22:55:00,BUY,3326.606,3327.106,TP,0.5,-737.0
2025-07-15 23:00:00,BUY,3327.243,3327.743,TP,0.5,-736.5
2025-07-15 23:05:00,BUY,3327.031,3327.531,TP,0.5,-736.0
